[2025-11-24 22:39:33,089: INFO: exception: Divided by 0]
[2025-11-24 22:40:41,001: INFO: exception: Divided by 0]
[2025-11-24 23:42:33,372: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-11-24 23:42:33,373: INFO: common: yaml file: params.yaml loaded successfully]
[2025-11-24 23:46:36,754: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-11-24 23:46:36,755: INFO: common: yaml file: params.yaml loaded successfully]
[2025-11-24 23:46:36,756: INFO: common: created directory at: artifacts]
[2025-11-24 23:46:36,757: INFO: common: created directory at: artifacts/data_ingestion]
[2025-11-24 23:48:17,592: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-11-24 23:48:17,593: INFO: common: yaml file: params.yaml loaded successfully]
[2025-11-24 23:48:17,593: INFO: common: created directory at: artifacts]
[2025-11-24 23:48:17,594: INFO: common: created directory at: artifacts/data_ingestion]
[2025-11-24 23:50:12,628: INFO: stage_01_data_ingestion: >>>>>> stage Data Ingestion stage started <<<<<<]
[2025-11-24 23:50:12,630: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-11-24 23:50:12,631: INFO: common: yaml file: params.yaml loaded successfully]
[2025-11-24 23:50:12,631: INFO: common: created directory at: artifacts]
[2025-11-24 23:50:12,631: INFO: common: created directory at: artifacts/data_ingestion]
[2025-11-24 23:50:12,632: INFO: stage_01_data_ingestion: >>>>>> stage Data Ingestion stage completed <<<<<<

x==========x]
[2025-11-24 23:55:21,799: INFO: stage_01_data_ingestion: >>>>>> stage Data Ingestion stage started <<<<<<]
[2025-11-24 23:55:21,840: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-11-24 23:55:21,841: INFO: common: yaml file: params.yaml loaded successfully]
[2025-11-24 23:55:21,841: INFO: common: created directory at: artifacts]
[2025-11-24 23:55:21,841: INFO: stage_01_data_ingestion: >>>>>> stage Data Ingestion stage completed <<<<<<

x==========x]
[2025-11-24 23:56:04,162: INFO: stage_01_data_ingestion: >>>>>> stage Data Ingestion stage started <<<<<<]
[2025-11-24 23:56:04,165: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-11-24 23:56:04,166: INFO: common: yaml file: params.yaml loaded successfully]
[2025-11-24 23:56:04,166: INFO: common: created directory at: artifacts]
[2025-11-24 23:56:04,167: INFO: stage_01_data_ingestion: >>>>>> stage Data Ingestion stage completed <<<<<<

x==========x]
